Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.354271,7.779725,7.354271,7.718946,4.301152,12600
2000-01-04,7.840504,7.901283,7.779725,7.840504,4.368888,11600
2000-01-05,7.840504,7.840504,7.840504,7.840504,4.368888,0
2000-01-06,7.779725,7.779725,7.658167,7.658167,4.267285,1500
2000-01-07,7.536609,7.536609,7.536609,7.536609,4.199550,1000
2000-01-10,7.415051,7.475830,7.415051,7.415051,4.131816,1900
2000-01-11,7.415051,7.415051,7.415051,7.415051,4.131816,2900
2000-01-12,7.415051,7.475830,7.293492,7.354271,4.097949,15700
2000-01-13,7.415051,7.415051,7.354271,7.415051,4.131816,2400
2000-01-14,7.415051,7.415051,7.415051,7.415051,4.131816,4000
2000-01-18,7.354271,7.415051,7.354271,7.415051,4.131816,1300
2000-01-19,7.415051,7.415051,7.354271,7.415051,4.131816,3700
2000-01-20,7.475830,7.536609,7.475830,7.475830,4.165683,4100
2000-01-21,7.475830,7.475830,7.415051,7.415051,4.131816,2400
2000-01-24,7.415051,7.475830,7.415051,7.415051,4.131816,1000
2000-01-25,7.415051,7.415051,7.415051,7.415051,4.131816,100
2000-01-26,7.415051,7.415051,7.415051,7.415051,4.131816,1400
2000-01-27,7.536609,7.658167,7.475830,7.536609,4.199550,12900
2000-01-28,7.597388,7.597388,7.597388,7.597388,4.233418,300
2000-01-31,7.597388,7.597388,7.536609,7.536609,4.199550,2000
2000-02-01,7.536609,7.536609,7.415051,7.475830,4.165683,393700
2000-02-02,7.475830,7.536609,7.475830,7.536609,4.199550,4000
2000-02-03,7.475830,7.475830,7.475830,7.475830,4.165683,6900
2000-02-04,7.475830,7.475830,7.475830,7.475830,4.165683,4300
2000-02-07,7.475830,7.475830,7.475830,7.475830,4.165683,1400
2000-02-08,7.475830,7.475830,7.475830,7.475830,4.165683,3000
2000-02-09,7.475830,7.658167,7.475830,7.597388,4.233418,10300
2000-02-10,7.597388,7.597388,7.536609,7.536609,4.199550,2800
2000-02-11,7.658167,7.658167,7.536609,7.536609,4.199550,600
2000-02-14,7.536609,7.536609,7.536609,7.536609,4.199550,200
2000-02-15,7.536609,7.536609,7.475830,7.536609,4.199550,9100
2000-02-16,7.536609,7.536609,7.536609,7.536609,4.199550,2500
